imgName,NDCMS,NAXIS1,NAXIS2,imgNoise,skNoise,skNoiseError,aveImgS,dSdskip,dSdskipError,pixVar,clustVar,tailRatio,DC,DCError,EXP,AMPL,HCKDIRN,VCKDIRN,ITGTIME,VIDGAIN,PRETIME,POSTIME,DGWIDTH,RGWIDTH,OGWIDTH,SWWIDTH,HWIDTH,HOWIDTH,VWIDTH,VOWIDTH,ONEVCKHI,ONEVCKLO,TWOVCKHI,TWOVCKLO,TGHI,TGLO,HUHI,HULO,HLHI,HLLO,RGHI,RGLO,SWLO,DGHI,DGLO,OGHI,OGLO,BATTR,VDD1,VDD2,DRAIN1,DRAIN2,VREF1,VREF2,OPG1,OPG2
Img_11.fits,1,1200,1200,632.4377653854262,3.043098761441849,1.780684755253722,7.925840066251132,-1,-1,-1.0,-1.0,43.42676248112899,356.9631771137533,inf,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.35,-3.35,2.21,2.21
Img_00.fits,1,1200,1200,77.54923485235628,-1.0,-1.0,2.281604724077371,-1,-1,-1.0,-1.0,25887.56266511922,23.293725879017867,1.013704577561437,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,2.21,2.21
Img_15.fits,1,1200,1200,76.4712306214107,-1.0,-1.0,5.8385385252696596,-1,-1,-1.0,-1.0,110.76271612040956,7.343790226768318,1.0765854759690359,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-5.0,-5.0,2.21,2.21
Img_08.fits,1,1200,1200,88.12031968016082,-1.0,-1.0,6.199705123763909,-1,-1,-1.0,-1.0,66.51491790683568,6.786692296995309,0.6414644470367256,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.5,-3.5,2.21,2.21
Img_23.fits,4000,2400000,20,256.13669246577035,7.962922390195055,0.3028664211394237,4.6353056826603005,-11.416404483972272,2.5700289961030482,114623.70327875919,6980898.59246832,0.0,0.0,0.0,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.35,-3.35,2.21,2.21
Img_13.fits,1,1200,1200,77.83326624491791,-1.0,-1.0,5.861084099717026,-1,-1,-1.0,-1.0,82.56694409726323,7.472913233921793,1.8627165464575546,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.65,-3.65,2.21,2.21
Img_07.fits,1,1200,1200,153.13934261747974,-1.0,-1.0,6.450822605024532,-1,-1,-1.0,-1.0,45.670003583587594,27.919852769488354,6.11265872310117,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.0,-3.0,2.21,2.21
Img_29.fits,1,1200,1200,76.5526583418407,-1.0,-1.0,6.031862132596259,-1,-1,-1.0,-1.0,86.30561291998369,5.792085712590633,0.446462796950683,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,8.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,2.21,2.21
Img_02.fits,4000,2400000,20,80.4173096237953,1.73305911272299,0.058051800975077554,4.361927294733472,-0.39708675607342486,0.1599493792685562,7211.214138585051,4193164.097153567,0.0,1.0221162091415326,0.025090264915985646,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,2.21,2.21
Img_25.fits,1,1200,1200,77.58776544047952,64.01866349374136,20.65298735129138,6.455275741557073,-1,-1,-1.0,-1.0,73.67933387179534,2.3842499623580884,0.3746699903957955,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,8.0,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,2.21,2.21
Img_03.fits,1,1200,1200,92.3540968752291,-1.0,-1.0,6.12548478107815,-1,-1,-1.0,-1.0,57.38722367881158,3.3256118639704324,1.028748789110692,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.5,-3.5,2.21,2.21
Img_04.fits,1,1200,1200,91.09136822835175,-1.0,-1.0,6.2153627700871965,-1,-1,-1.0,-1.0,60.66206079475633,5.112049244276898,0.41773786606373564,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.5,-3.5,2.21,2.21
